----- Base data -----
Date,SP500,RFR,VOL,Returns
2018-10-25,2705.5701,0.022799999999999997,0.2422,2018-11-16,2709.288228008839,2660.0,41.96328741854211,41.96328741854211,-0.37475276469678165
2018-10-26,2658.6899,0.02273,0.2416,2018-11-16,2662.166702355276,2660.0,60.335912713700736,60.335912713700736,0.43782616723780343
2018-10-29,2641.25,0.0226,0.247,2018-11-30,2646.484892025415,2645.0,76.25900548240088,66.1791859387788,0.09684569209725735
2018-10-30,2682.6299,0.02283,0.2335,2018-11-30,2687.8329615904718,2645.0,52.836259226698985,52.836259226698985,-0.3071472819181653
2018-10-31,2711.74,0.02278,0.21230000000000002,2018-11-30,2716.8185432253804,2645.0,35.293541513346895,35.293541513346895,-0.3320204338858168
2018-11-01,2740.3701,0.0227,0.19340000000000002,2018-11-30,2745.3135970571107,2745.0,59.40997992064422,21.546377404219584,-0.38950934136004933
2018-11-02,2723.0601,0.02273,0.19510000000000002,2018-11-30,2727.8091079684577,2745.0,67.83823087628502,67.83823087628502,0.14186591153369665
2018-11-05,2738.3101,0.02268,0.1996,2018-11-30,2742.5642480236193,2745.0,58.28946335292926,58.28946335292926,-0.14075790892556783
2018-11-06,2755.45,0.023100000000000002,0.1991,2018-11-30,2759.635575435992,2745.0,48.94458652178514,48.94458652178514,-0.1603184571208529
2018-11-07,2813.8899,0.023100000000000002,0.1636,2018-11-30,2817.986019299544,2745.0,18.032406613969783,18.032406613969783,-0.6315750546601595
2018-11-08,2806.8301,0.02303,0.1672,2018-11-30,2810.726322697789,2745.0,19.936599221922165,19.936599221922165,0.10559836236596354
2018-11-09,2781.01,0.023,0.1736,2018-11-30,2784.689990011546,2745.0,28.730656657670124,28.730656657670124,0.44110117968756013
2018-11-12,2726.22,0.023,0.2045,2018-12-21,2732.9234212014476,2735.0,73.73227227052121,57.7416661777288,1.0097579691870253
2018-11-13,2722.1799,0.022949999999999998,0.2002,2018-12-21,2728.687359381928,2735.0,73.39002345455356,73.39002345455356,-0.004641777683345394
2018-11-14,2701.5801,0.023250000000000003,0.2125,2018-12-21,2707.950457989535,2735.0,87.52638859636863,87.52638859636863,0.19261971145940504
2018-11-15,2730.2,0.023100000000000002,0.1998,2018-12-21,2736.4231921735745,2735.0,67.58471175167006,67.58471175167006,-0.22783616649214677
2018-11-16,2736.27,0.023,0.1814,2018-12-21,2742.3073072513484,2735.0,57.631591614506306,57.631591614506306,-0.14726881093663613
2018-11-19,2690.73,0.023,0.201,2018-12-21,2696.157443966052,2735.0,85.54604444285883,85.54604444285883,0.4843602622511338
2018-11-20,2641.8899,0.02335,0.2248,2018-12-21,2647.1307711290533,2645.0,67.92689213287872,122.54687396504505,0.43252531152274654
2018-11-21,2649.9299,0.0235,0.20800000000000002,2018-12-21,2655.0496939117807,2645.0,58.00270627683699,58.00270627683699,-0.14610098510952074
2018-11-23,2632.5601,0.02348,0.2152,2018-12-21,2637.302903281943,2645.0,66.57555774466255,66.57555774466255,0.1478008875466743
2018-11-26,2673.45,0.02343,0.189,2018-12-21,2677.7408410175885,2645.0,37.67894299242539,37.67894299242539,-0.43404239830876734
2018-11-27,2682.1699,0.023530000000000002,0.1902,2018-12-21,2686.3200615977808,2645.0,33.72896941112867,33.72896941112867,-0.10483238826765329
2018-11-28,2743.79,0.02335,0.18489999999999998,2018-12-21,2747.82733409709,2750.0,51.89627585057087,14.438684792640515,-0.5719203686111869
2018-11-29,2737.8,0.023100000000000002,0.18789999999999998,2018-12-21,2741.6119599025114,2750.0,54.73939437319132,54.73939437319132,0.05478463485138829
2018-11-30,2760.1699,0.02308,0.1807,2018-12-21,2763.8350256872063,2750.0,40.99830167510663,40.99830167510663,-0.25102748862004953
